label,t_ms,ax,ay,az
off,4275255,0.001221,-0.015381,1.001587
off,4275275,0.000854,-0.015381,1.005615
off,4275295,0.000610,-0.014526,1.004517
off,4275315,0.000977,-0.014648,1.005981
off,4275335,0.000488,-0.013794,1.003296
off,4275355,0.000977,-0.014282,1.004272
off,4275375,0.001099,-0.015625,1.003784
off,4275395,0.001221,-0.015015,1.004028
off,4275415,0.000977,-0.014282,1.003418
off,4275435,0.000244,-0.015015,1.004761
off,4275455,0.000854,-0.014771,1.004150
off,4275475,0.000610,-0.014648,1.004883
off,4275495,0.000732,-0.015503,1.004639
off,4275515,0.000366,-0.014771,1.003662
off,4275535,0.000488,-0.014771,1.003296
off,4275555,0.000244,-0.014771,1.002441
off,4275575,0.000488,-0.014648,1.003296
off,4275595,0.001221,-0.014893,1.003662
off,4275615,0.000610,-0.014648,1.004639
off,4275635,0.000610,-0.014526,1.004517
off,4275655,-0.018799,-0.002197,1.057495
off,4275675,-0.005615,-0.009399,0.986572
off,4275695,0.002808,-0.013062,0.985107
off,4275715,-0.001709,-0.013062,0.989014
off,4275735,-0.000854,-0.013184,1.018799
off,4275755,0.002075,-0.017456,1.010254
off,4275775,0.000610,-0.015259,1.010010
off,4275795,0.000366,-0.013428,1.010498
off,4275815,0.000122,-0.014160,0.999756
off,4275835,0.000000,-0.015259,1.000732
off,4275855,0.000244,-0.015747,1.000854
off,4275875,0.000732,-0.015259,1.010376
off,4275895,-0.008423,-0.014526,0.984009
off,4275915,-0.000854,-0.013672,1.023193
off,4275935,-0.003662,-0.011230,1.019531
off,4275955,0.002441,-0.015747,1.015503
off,4275975,0.002075,-0.016235,1.015381
off,4275995,0.001709,-0.016846,0.992187
off,4276015,0.000000,-0.015503,0.999512
off,4276035,-0.001221,-0.011230,1.001587
off,4276055,-0.000244,-0.011963,1.012695
off,4276075,0.003540,-0.015747,1.009766
off,4276095,0.000732,-0.017090,1.005249
off,4276115,0.000122,-0.015503,1.005371
off,4276135,0.000854,-0.014771,1.000610
off,4276155,0.000000,-0.011841,1.001221
off,4276175,0.000610,-0.013916,1.002197
off,4276195,0.002075,-0.017212,1.001099
off,4276215,-0.000122,-0.016235,1.004639
off,4276235,0.000000,-0.014282,1.004272
off,4276255,0.000854,-0.013428,1.005615
off,4276275,0.000366,-0.012939,1.004028
off,4276295,0.000854,-0.015381,1.005615
off,4276315,0.001099,-0.017090,1.003662
off,4276335,0.000488,-0.015015,1.004395
off,4276355,0.000977,-0.013550,1.004028
off,4276375,0.000244,-0.013672,1.004395
off,4276395,0.000000,-0.013916,1.004150
off,4276415,0.000366,-0.015503,1.002808
off,4276435,0.001831,-0.016846,1.003174
off,4276455,0.000488,-0.014771,1.003662
off,4276475,0.000122,-0.014404,1.003784
off,4276495,0.000488,-0.013184,1.003784
off,4276515,0.000488,-0.015747,1.002930
off,4276535,0.000488,-0.015869,1.004517
off,4276555,0.000977,-0.015991,1.003418
off,4276575,0.000366,-0.013550,1.003906
off,4276595,-0.000244,-0.013672,1.003296
off,4276615,0.000122,-0.014282,1.003418
off,4276635,0.001221,-0.015137,1.004272
off,4276655,0.000732,-0.015381,1.003662
off,4276675,0.000732,-0.014771,1.003174
off,4276695,0.000610,-0.013550,1.004883
off,4276715,0.000488,-0.013550,1.004272
off,4276735,0.000488,-0.015015,1.002930
off,4276755,0.001221,-0.015625,1.004150
off,4276775,0.000854,-0.015137,1.003540
off,4276795,0.000732,-0.014526,1.003174
off,4276815,0.001465,-0.014038,1.004272
off,4276835,0.000610,-0.015625,1.003662
off,4276855,0.001099,-0.015747,1.004150
off,4276875,0.001221,-0.014404,1.004028
off,4276895,0.000854,-0.014893,1.003784
off,4276915,0.000488,-0.014282,1.004028
off,4276935,0.000244,-0.014771,1.003296
off,4276955,0.000488,-0.015991,1.003784
off,4276975,0.001099,-0.015747,1.004028
off,4276995,0.000854,-0.015259,1.004150
off,4277015,-0.000488,-0.014282,1.004517
off,4277035,0.000244,-0.014160,1.003906
off,4277055,0.000000,-0.014771,1.003418
off,4277075,0.000122,-0.015503,1.004272
off,4277095,0.000854,-0.015869,1.003296
off,4277115,0.000610,-0.013794,1.003174
off,4277135,0.000366,-0.014038,1.003296
off,4277155,0.000488,-0.015137,1.003174
off,4277175,0.000854,-0.015503,1.003418
off,4277195,0.000366,-0.014282,1.003052
off,4277215,0.000977,-0.014038,1.003906
off,4277235,0.000000,-0.013916,1.004883
off,4277255,0.001099,-0.014404,1.003784
off,4277275,0.000244,-0.014404,1.003296
off,4277295,0.000366,-0.015015,1.003296
off,4277315,0.000366,-0.014893,1.003296
off,4277335,0.000488,-0.014282,1.003662
off,4277355,0.000122,-0.014771,1.003906
off,4277375,0.005981,-0.025879,1.002441
off,4277395,-0.007202,-0.012207,1.000854
off,4277415,-0.007935,-0.009277,0.997559
off,4277435,0.004761,-0.017456,1.000610
off,4277455,0.004761,-0.018066,1.004639
off,4277475,0.000122,-0.013672,1.006348
off,4277495,0.000977,-0.014771,1.003540
off,4277515,0.000977,-0.014893,1.003906
off,4277535,0.000610,-0.014282,1.002319
off,4277555,-0.029663,0.001099,1.019409
off,4277575,-0.014038,-0.002930,1.030273
off,4277595,-0.002441,-0.011597,1.009155
off,4277615,-0.000122,-0.014648,1.003906
off,4277635,0.007080,-0.013306,1.026855
off,4277655,-0.007446,-0.010010,1.012817
off,4277675,-0.005859,-0.008057,1.010132
