label,t_ms,ax,ay,az
normal,5223255,0.005615,0.018433,1.002075
normal,5223275,0.006836,0.017822,1.001221
normal,5223295,0.005493,0.018555,1.000854
normal,5223315,0.005737,0.018677,1.000854
normal,5223335,0.005981,0.018188,1.001221
normal,5223355,0.005859,0.018066,1.001465
normal,5223375,0.005859,0.018188,1.001831
normal,5223395,0.006470,0.019409,1.000732
normal,5223415,0.021606,0.016724,1.034912
normal,5223435,0.055054,0.011108,1.097168
normal,5223455,-0.015259,-0.030396,0.988159
normal,5223475,-0.007690,-0.036621,1.006958
normal,5223495,-0.031982,0.069336,0.909912
normal,5223515,-0.034790,0.065186,0.905640
normal,5223535,0.052490,0.035767,1.067871
normal,5223555,0.010010,-0.043701,1.042725
normal,5223575,0.017456,-0.044800,1.056763
normal,5223595,-0.043457,0.052734,0.900146
normal,5223615,-0.044434,0.045776,0.902588
normal,5223635,0.030884,0.060913,1.023926
normal,5223655,0.026855,0.063599,1.013672
normal,5223675,0.041260,-0.037476,1.093750
normal,5223695,0.045654,-0.034424,1.099121
normal,5223715,-0.042725,0.015991,0.922974
normal,5223735,0.006470,0.075684,0.971069
normal,5223755,0.001587,0.076172,0.961548
normal,5223775,0.057251,-0.018799,1.107300
normal,5223795,0.059570,-0.014893,1.108398
normal,5223815,-0.028564,-0.016357,0.963867
normal,5223835,-0.023560,-0.023193,0.976807
normal,5223855,-0.022217,0.075928,0.921631
normal,5223875,-0.027344,0.073486,0.912354
normal,5223895,0.058960,0.014160,1.089966
normal,5223915,-0.014038,-0.040527,1.012085
normal,5223935,0.005737,0.023682,0.998535
normal,5223955,0.000366,0.003052,1.002075
normal,5223975,0.001953,0.024902,0.996460
normal,5223995,0.010986,0.012207,1.002441
normal,5224015,0.021729,-0.025879,1.032104
normal,5224035,-0.038696,0.056885,0.901978
normal,5224055,-0.049316,0.056030,0.899902
normal,5224075,0.040283,0.053223,1.042358
normal,5224095,0.023193,-0.044189,1.067261
normal,5224115,0.031738,-0.042114,1.080078
normal,5224135,-0.045044,0.037598,0.906982
normal,5224155,-0.043457,0.028931,0.911987
normal,5224175,0.017090,0.071167,0.991821
normal,5224195,0.010132,0.073486,0.981323
normal,5224215,0.050903,-0.027954,1.106079
normal,5224235,-0.038940,-0.025879,1.106567
normal,5224255,-0.035156,-0.003174,0.945801
normal,5224275,-0.009521,0.078491,0.943115
normal,5224295,-0.012817,0.077026,0.936035
normal,5224315,0.060059,-0.003906,1.103760
normal,5224335,0.060547,0.001709,1.099609
normal,5224355,-0.016235,-0.032715,0.994263
normal,5224375,-0.010010,-0.038574,1.007446
normal,5224395,-0.030396,0.061523,0.917114
normal,5224415,0.004028,0.015991,0.973389
normal,5224435,0.006348,0.018677,1.000977
normal,5224455,0.003784,0.019775,0.999146
